origin_date_first,target_date,actual_first,persistence_first,arima_first,vs_first,actual_second,persistence_second,arima_second,vs_second,ensemble_second,actual_parity,parity_second
2025-08-24,2025-08-31,6.06,6.07,6.07,4.073918841664502,6.06,6.07,6.07,6.079194550785539,6.072758365235662,6.06,6.0804693639043705
2025-08-31,2025-09-07,6.06,6.06,6.05663984223476,4.143838188937769,6.06,6.06,6.056641250843082,6.070239611078609,6.060720758913741,6.06,6.052753390905695
2025-09-07,2025-09-14,6.06,6.06,6.06,4.107144344015958,6.06,6.06,6.06,6.070457564589093,6.063137269376727,6.06,6.060923292620949
2025-09-14,2025-09-21,6.06,6.06,6.06,4.006654556468769,6.06,6.06,6.06,6.070245581456325,6.063073674436897,6.06,6.059217748316732
2025-09-21,2025-09-28,6.06,6.06,6.06,4.090686212056095,6.06,6.06,6.06,6.070129374002145,6.063038812200642,6.06,6.059326609885124
2025-09-28,2025-10-05,6.06,6.06,6.06,4.067150713018585,6.06,6.06,6.06,6.069807184098058,6.0629421552294165,6.06,6.073255299189494
2025-10-05,2025-10-12,6.06,6.06,6.06,4.088380047724527,6.06,6.06,6.06,6.069886607600477,6.062965982280142,6.06,6.041777663875341
2025-10-12,2025-10-19,6.05,6.06,6.06,4.043373520870949,6.05,6.06,6.06,6.069755875449292,6.0629267626347865,6.05,6.06086109531851
2025-10-19,2025-10-26,6.05,6.05,6.04663984223476,4.041754107741279,6.05,6.05,6.046641250843083,6.059550683771571,6.050514080721629,6.05,6.04467447689898
2025-10-26,2025-11-02,6.07,6.05,6.05,2.605693744999157,6.07,6.05,6.05,6.059570591873513,6.052871177562054,6.07,6.069309585745409
2025-11-02,2025-11-09,6.06,6.07,6.07672031553048,4.117660254557711,6.06,6.07,6.076717498313834,6.079549310533592,6.077567041979761,6.06,6.078427983360145
2025-11-09,2025-11-16,6.06,6.06,6.05663984223476,2.803156850262288,6.06,6.06,6.05664274063274,6.068929860606136,6.060328876624759,6.06,6.060816943238385
2025-11-16,2025-11-23,6.07,6.06,6.06,4.120769415400125,6.07,6.06,6.06,6.068885953241261,6.062665785972378,6.07,6.061885125280012
2025-11-23,2025-11-30,6.07,6.07,6.073357144328471,4.099790823478685,6.07,6.07,6.07335725936726,6.078979199863877,6.075043841516244,6.07,6.070166573514493
2025-11-30,2025-12-07,6.07,6.07,6.07,4.168592657126446,6.07,6.07,6.07,6.079248333882815,6.072774500164844,6.07,6.056325711315434
2025-12-07,2025-12-14,6.08,6.07,6.07,4.216966160344813,6.08,6.07,6.07,6.078974999134977,6.0726924997404925,6.08,6.073231482275499
2025-12-14,2025-12-21,6.08,6.08,6.0833571443284695,4.241372721319736,6.08,6.08,6.08335725936726,6.089035263426433,6.085060660585011,6.08,6.06940273647312
2025-12-21,2025-12-28,6.07,6.08,6.08,4.210943178631764,6.07,6.08,6.08,6.089039360740634,6.082711808222189,6.07,6.077048256302323
2025-12-28,2026-01-04,6.12,6.07,6.066642855671531,4.250367298362777,6.12,6.07,6.066642740632741,6.07885141122727,6.070305341811099,6.12,6.066864288586887
2026-01-04,2026-01-11,6.12,6.12,6.136785721642349,4.125586985344061,6.12,6.12,6.136786296836297,6.129139711222033,6.134492321152017,6.12,6.130612812022001
2026-01-11,2026-01-18,6.12,6.12,6.12,2.920228394670624,6.12,6.12,6.12,6.128352832034884,6.122505849610465,6.12,6.119561996808028
2026-01-18,2026-01-25,6.11,6.12,6.12,4.383395901844019,6.11,6.12,6.12,6.1283564125874594,6.122506923776237,6.11,6.131037442294138
2026-01-25,2026-02-01,6.12,6.11,6.106642855671531,4.095076013645753,6.12,6.11,6.106642740632741,6.117803470529192,6.109990959601676,6.12,6.121674083419693
2026-02-01,2026-02-08,6.11,6.12,6.12335714432847,4.150257155044777,6.11,6.12,6.12335725936726,6.129219748061585,6.125116005975557,6.11,6.146756167807027
2026-02-08,2026-02-15,6.1,6.11,6.106642855671531,2.6527247097654505,6.1,6.11,6.106648695769139,6.118835406931353,6.110304709117803,6.1,6.080656939151663
2026-02-15,2026-02-22,6.09,6.1,6.096642855671529,4.296970078953155,6.09,6.1,6.096648695769138,6.108893846005349,6.100322240840001,6.09,6.0949590385695664
2026-02-22,2026-03-01,6.15,6.09,6.08664285567153,4.397416077746732,6.15,6.09,6.086648695769139,6.098941269708313,6.090336467950891,6.15,6.102935998958649
2026-03-01,2026-03-08,6.89,6.15,6.17014286597082,4.28502145673006,6.89,6.15,6.170107825385168,6.158861355683028,6.166733884474525,6.89,6.171497400299881
2026-03-08,2026-03-15,7.35,6.89,7.138428680306769,3.041909654390483,7.35,6.89,7.13799651308373,6.897688285694836,7.065904044867063,7.35,7.175718792976675
